type,models,weights,roc_auc
quad,XGB_G+XGB_E+XGB_D+XGB_H,"[0.35, 0.3, 0.2, 0.15]",0.9447958881434232
rank_average,XGB_G+XGB_A+XGB_E+XGB_B,equal,0.9447957515929473
quad,XGB_G+XGB_E+XGB_B+XGB_H,"[0.4, 0.3, 0.2, 0.1]",0.944795366170094
quad,XGB_G+XGB_A+XGB_E+XGB_B,"[0.25, 0.25, 0.25, 0.25]",0.9447947878341028
rank_average,XGB_G+XGB_E+XGB_D,equal,0.944793639486572
triple,XGB_G+XGB_E+XGB_D,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.944792941466234
triple,XGB_G+XGB_B+XGB_H,"[0.5, 0.25, 0.25]",0.9447917009290943
triple,XGB_G+XGB_F+XGB_C,"[0.5, 0.3, 0.2]",0.9447913438466128
quad,XGB_G+XGB_A+XGB_D+XGB_H,"[0.25, 0.25, 0.25, 0.25]",0.9447912610365579
rank_average,XGB_G+XGB_A+XGB_D+XGB_H,equal,0.9447912048135421
triple,XGB_G+XGB_B+XGB_H,"[0.5, 0.3, 0.2]",0.9447908436735698
pair,XGB_G+XGB_D,"[0.5, 0.5]",0.9447891209389254
rank_average,XGB_G+XGB_D,equal,0.9447887369358059
rank_average,XGB_G+XGB_A+XGB_D+XGB_B,equal,0.9447885524634908
quad,XGB_G+XGB_A+XGB_D+XGB_B,"[0.25, 0.25, 0.25, 0.25]",0.9447884971248997
rank_average,XGB_G+XGB_A+XGB_E+XGB_C,equal,0.944788350845755
rank_average,XGB_G+XGB_A+XGB_D+XGB_C,equal,0.944787800338101
triple,XGB_G+XGB_F+XGB_C,"[0.5, 0.25, 0.25]",0.9447876883497981
rank_average,XGB_G+XGB_A+XGB_B+XGB_F,equal,0.9447875901166224
quad,XGB_G+XGB_D+XGB_B+XGB_H,"[0.4, 0.3, 0.2, 0.1]",0.944787584825592
pair,XGB_G+XGB_C,"[0.6, 0.4]",0.9447863615269703
rank_average,XGB_G+XGB_F,equal,0.9447853725232396
rank_average,XGB_G+XGB_A+XGB_E+XGB_D+XGB_H,equal,0.9447847156674277
triple,XGB_G+XGB_B+XGB_C,"[0.5, 0.3, 0.2]",0.9447843598960666
rank_average,XGB_G+XGB_A+XGB_E+XGB_D+XGB_B,equal,0.9447834942152359
triple,XGB_G+XGB_B+XGB_C,"[0.5, 0.25, 0.25]",0.9447820645509157
pair,XGB_G+XGB_F,"[0.5, 0.5]",0.9447816753498632
triple,XGB_G+XGB_H+XGB_C,"[0.5, 0.3, 0.2]",0.9447811346639751
rank_average,XGB_G+XGB_A+XGB_D+XGB_B+XGB_F,equal,0.9447796144547652
rank_average,XGB_G+XGB_A+XGB_E+XGB_D+XGB_C,equal,0.9447794425893772
triple,XGB_G+XGB_H+XGB_C,"[0.5, 0.25, 0.25]",0.9447789237192914
rank_average,XGB_G+XGB_D+XGB_F,equal,0.9447787952915558
triple,XGB_A+XGB_E+XGB_F,"[0.7, 0.15, 0.15]",0.9447784774340732
rank_average,XGB_G+XGB_A+XGB_E+XGB_B+XGB_F,equal,0.9447771260878632
quad,XGB_G+XGB_E+XGB_B+XGB_H,"[0.35, 0.3, 0.2, 0.15]",0.9447771075692571
rank_average,XGB_G+XGB_A+XGB_H+XGB_F,equal,0.9447769699636783
pair,XGB_A+XGB_E,"[0.75, 0.25]",0.9447760574936924
rank_average,XGB_G+XGB_E+XGB_F,equal,0.9447759232628911
triple,XGB_A+XGB_E+XGB_D,"[0.7, 0.15, 0.15]",0.9447758005218491
pair,XGB_A+XGB_E,"[0.8, 0.2]",0.944775762848472
triple,XGB_A+XGB_D+XGB_F,"[0.7, 0.15, 0.15]",0.9447757453461783
triple,XGB_G+XGB_D+XGB_F,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.9447757325452983
pair,XGB_A+XGB_E,"[0.7, 0.3]",0.9447746202031512
triple,XGB_G+XGB_E+XGB_F,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.944773687073321
pair,XGB_A+XGB_F,"[0.8, 0.2]",0.944773250198689
triple,XGB_A+XGB_E+XGB_D,"[0.6, 0.2, 0.2]",0.9447728718357147
